challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,67,100,0.1,1,6,3,1.0,0.92271,0.45121,0.31218,0.96108
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,67,100,0.1,1,6,3,1.0,0.60124,1.01749,0.77587,0.78822
t-A2A,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,297,50,0.3,0,3,5,1.0,0.837,0.56619,0.37766,0.91486
t-A2A,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,297,50,0.3,0,3,5,1.0,0.41316,1.06916,0.85144,0.71849
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,66,100,0.1,1,6,3,0.5,0.90589,0.45833,0.31912,0.95239
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,66,100,0.1,1,6,3,0.5,0.54279,1.00344,0.77511,0.75319
t-C2C,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,40,50,0.1,0,12,3,0.5,0.93192,0.49074,0.29106,0.96574
t-C2C,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,40,50,0.1,0,12,3,0.5,0.63954,1.0967,0.80686,0.80669
t-A2A,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,50,0.1,0,3,3,0.5,0.78448,0.63727,0.46851,0.88693
t-A2A,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,50,0.1,0,3,3,0.5,0.42059,1.03601,0.82142,0.72669
t-C2C,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,215,100,0.2,1,6,5,1.0,0.91415,0.58697,0.3795,0.95666
t-C2C,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,215,100,0.2,1,6,5,1.0,0.68096,1.09939,0.81312,0.83235
t-A2A,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,153,50,0.2,0,3,5,1.0,0.85007,0.5614,0.39508,0.92259
